sale_id,timestamp,year,month_num,day,hour,user_id,item_id,department,role,state,product_line,category,subcategory,line_type,quantity,price,amount,budget,variance,spend_to_budget_ratio,days_past_due,aging_bucket,dept_total_opex
S000146,2025-04-16,2025,4,16,0,U0010,I0014,Sales,AE,Kansas,Standard,operations,Other,expense,3,168.1,313.2,307.11,14.8,1.0198516650007745,3,1-30,149412.36
S000572,2025-05-13,2025,5,13,0,U0022,I0019,Sales,AE,Vermont,Standard,people,Payroll,expense,1,2189.74,4509.92,4356.53,591.05,1.0352095172561584,12,1-30,186541.83000000002
S000230,2025-08-24,2025,8,24,0,U0014,I0012,Engineering,Backend,California,Subscriptions,software_services,Subscriptions,expense,3,2802.27,114364.3,107043.05,2448.42,1.0683953725360484,27,1-30,464347.05
S000203,2025-07-31,2025,7,31,0,U0028,I0003,Support,Agent,New York,Subscriptions,software_services,Subscriptions,expense,2,2618.21,45251.74,47129.65,-1194.67,0.9601544505351655,0,current,140311.24
S000186,2025-04-03,2025,4,3,0,U0005,I0036,Engineering,Frontend,New York,Standard,revenue,AddOnRevenue,revenue,1,730.52,517.1,521.3,6.64,0.9919432188758873,7,1-30,342370.18
S000211,2025-08-05,2025,8,5,0,U0001,I0033,Engineering,Frontend,Illinois,Subscriptions,software_services,Subscriptions,expense,1,1179.73,11541.84,11511.06,-2375.0,1.002674081341095,11,1-30,464347.05
S000157,2025-06-26,2025,6,26,0,U0007,I0015,Support,Agent,Washington,Standard,software_services,Software,expense,3,205.19,459.25,468.91,-42.2,0.9793831563897635,9,1-30,52264.88
S000643,2025-07-02,2025,7,2,0,U0014,I0044,Engineering,Backend,California,Standard,operations,Other,expense,2,76.23,165.5,165.35,-8.35,1.000876845083653,5,1-30,249661.24000000002
S000241,2025-01-28,2025,1,28,0,U0017,I0023,Marketing,Manager,Tennessee,Standard,operations,Travel,expense,1,778.02,835.42,817.04,41.91,1.0224989170673273,11,1-30,138890.43
S000638,2025-01-28,2025,1,28,0,U0023,I0014,Marketing,Manager,Louisiana,Standard,operations,Other,expense,3,168.1,161.78,173.8,-12.73,0.9308630914850685,12,1-30,138890.43
S000274,2025-02-26,2025,2,26,0,U0004,I0008,Engineering,Data,Washington,Standard,revenue,AddOnRevenue,revenue,2,2400.98,2164.4,2381.33,-213.21,0.9089038478497311,0,current,466183.24
S000385,2025-03-15,2025,3,15,0,U0022,I0018,Sales,AE,Vermont,Standard,revenue,AddOnRevenue,revenue,3,378.69,2138.75,2174.91,96.32,0.9833740246722854,0,current,165634.36000000002
S000210,2025-07-03,2025,7,3,0,U0028,I0046,Support,Agent,New York,Subscriptions,software_services,Subscriptions,expense,3,2472.86,35546.62,35094.53,1954.79,1.012882021046058,0,current,140311.24
S000486,2025-01-20,2025,1,20,0,U0012,I0033,Engineering,Backend,Tennessee,Subscriptions,software_services,Subscriptions,expense,3,1179.73,31029.59,28674.47,4317.99,1.0821330146718118,5,1-30,755646.49
S000118,2025-05-10,2025,5,10,0,U0027,I0048,Support,Lead,Tennessee,Subscriptions,software_services,Subscriptions,expense,2,1078.49,11691.27,12889.92,-1134.98,0.9070082296727185,14,1-30,76628.45999999999
S000240,2025-04-16,2025,4,16,0,U0005,I0039,Engineering,Frontend,New York,Standard,operations,Travel,expense,2,220.18,378.37,382.01,-9.8,0.9904619769832725,30,1-30,342370.18
S000585,2025-06-17,2025,6,17,0,U0008,I0043,Marketing,Manager,Illinois,Standard,people,Payroll,expense,1,1960.48,2799.38,2997.77,-413.99,0.9338205849299306,3,1-30,160345.14
S000500,2025-04-17,2025,4,17,0,U0016,I0043,Engineering,Frontend,Louisiana,Standard,people,Payroll,expense,2,1960.48,4458.76,4635.41,-252.64,0.9618902034481375,5,1-30,342370.18
S000058,2025-05-29,2025,5,29,0,U0023,I0011,Marketing,Manager,Louisiana,Subscriptions,software_services,Subscriptions,expense,3,1301.15,15583.69,15960.17,-18.54,0.9764111983180832,12,1-30,396244.52
S000788,2025-06-11,2025,6,11,0,U0019,I0019,Marketing,Manager,Florida,Standard,people,Payroll,expense,2,2189.74,5773.89,5859.37,561.73,0.985411314042346,0,current,160345.14
